Pct-Contest-Candidate totals for horry
      1 0102 Governor Morgan_Bruce_Reeves 
      4 0102 Governor Morgan_Bruce_Reeves  
    196 0102 HSE0105_State_House_of_Representatives_D George_M_Hearn 
      1 0102 HSE0105_State_House_of_Representatives_D W/I_RA_JOHNSON 
      1 0102 HSE0105_State_House_of_Representatives_D W/I_CAROL_COVINGTON 
    175 0102 Lieutenant_Governor Ken_Ard 
     48 0102 Lieutenant_Governor Ashley_Cooper 
    198 0102 Probate_Judge Deirdre_W_Edmonds 
      1 0102 Probate_Judge W/I_CAROL_COVINGTON 
    122 0102 Public_Transportation_Referendum No 
     97 0102 Public_Transportation_Referendum Yes 
    181 0102 SCH0010_Board_of_Education_District_10 Neil_James 
      1 0102 SCH0010_Board_of_Education_District_10 W/I_RA_JOHNSON 
     44 0102 SCH0010_Board_of_Education_District_10 Lucian_N_Norton_Jr 
      2 0102 STRAIGHT_PARTY Green 
     25 0102 STRAIGHT_PARTY Democratic 
    107 0102 STRAIGHT_PARTY Republican 
      1 0102 STRAIGHT_PARTY Independence 
    181 0102 Secretary_of_State Mark_Hammond 
     42 0102 Secretary_of_State Marjorie_L_Johnson 
    103 0102 Soil__and_Water_District_Commission Glenn_Winburn 
      1 0102 Soil__and_Water_District_Commission W/I_RA_JOHNSON 
      1 0102 Soil__and_Water_District_Commission W/I_BRAD_MINCEY 
      1 0102 Soil__and_Water_District_Commission W/I_CAROL_COVINGTON 
    111 0102 Soil__and_Water_District_Commission Matthew_Gene_Johnson 
    199 0102 Solicitor_Circuit_15 Greg_Hembree 
      1 0102 Solicitor_Circuit_15 W/I_CAROL_COVINGTON 
    170 0102 State_Superintendent_of_Education Mick_Zais 
      8 0102 State_Superintendent_of_Education Tim_Moultrie 
      3 0102 State_Superintendent_of_Education Tony_Fayyazi 
      4 0102 State_Superintendent_of_Education Doretha_A_Bull 
     39 0102 State_Superintendent_of_Education Frank_Holleman 
    195 0102 State_Treasurer Curtis_Loftis 
      1 0102 State_Treasurer W/I_CAROL_COVINGTON 
    184 0102 U.S._Senate Jim_DeMint 
     10 0102 U.S._Senate Tom_Clements 
     34 0102 U.S._Senate Alvin_M_Greene 
      1 0103 Adjutant_General W/I_DON_DUCK 
      8 0103 Adjutant_General Bob_Livingston 
      1 0103 Adjutant_General W/I_AARON_BUTLER 
     12 0103 Amendment_1 No 
     39 0103 Amendment_1 Yes 
     12 0103 Amendment_2 No 
     38 0103 Amendment_2 Yes 
     20 0103 Amendment_3 No 
     32 0103 Amendment_3 Yes 
     16 0103 Amendment_4 No 
     35 0103 Amendment_4 Yes 
      4 0103 Attorney_General Alan_Wilson 
     58 0103 Attorney_General Matthew_Richardson 
      6 0103 Board_of_Education_Chairman Will_Garland 
     55 0103 Board_of_Education_Chairman Subhash_C_Saxena 
     36 0103 CCL0001_County_Council_District_1 Brian_Scott 
      9 0103 CCL0001_County_Council_District_1 Harold_Worley 
      2 0103 CCL0002_County_Council_District_2 Brent_Schulz 
      1 0103 CONG01_U.S._House_of_Representatives_Dis Rob_Groce 
      8 0103 CONG01_U.S._House_of_Representatives_Dis Tim_Scott 
     51 0103 CONG01_U.S._House_of_Representatives_Dis Ben_Frasier 
      2 0103 CONG01_U.S._House_of_Representatives_Dis M_E_Mac_McCullough 
      6 0103 Commissioner_of_Agriculture Hugh_Weathers 
     54 0103 Commissioner_of_Agriculture Tom_E_Elliott 
     55 0103 Comptroller_General Robert_Barber 
      6 0103 Comptroller_General Richard_A_Eckstrom 
     10 0103 County_Council_Chairman Tom_Rice 
     52 0103 County_Council_Chairman Vincent_Lehotsky 
      9 0103 Governor Nikki_R_Haley 
     54 0103 Governor Vincent_A_Sheheen 
      1 0103 Governor Morgan_Bruce_Reeves 
      1 0103 Governor Morgan_Bruce_Reeves  
      9 0103 HSE0104_State_House_of_Representatives_D Tracy_R_Edge 
     54 0103 HSE0104_State_House_of_Representatives_D Charles_J_Randall 
      2 0103 HSE0104_State_House_of_Representatives_D Patricia_Matthews 
      5 0103 Lieutenant_Governor Ken_Ard 
     56 0103 Lieutenant_Governor Ashley_Cooper 
      1 0103 Probate_Judge W/I_AARON_BUTLER 
     14 0103 Probate_Judge Deirdre_W_Edmonds 
      6 0103 Public_Transportation_Referendum No 
     55 0103 Public_Transportation_Referendum Yes 
      1 0103 SCH0001_Board_of_Education_District_1 W/I_DON_DUCK 
     10 0103 SCH0001_Board_of_Education_District_1 Harvey_Eisner 
      1 0103 SCH0001_Board_of_Education_District_1 W/I_AARON_BUTLER 
      1 0103 SCH0002_Board_of_Education_District_2 Rivers_Lynch 
      1 0103 SCH0002_Board_of_Education_District_2 Karen_McIlrath 
     17 0103 SCH0002_Board_of_Education_District_2 Maryellen_Greene 
      1 0103 STRAIGHT_PARTY Green 
     41 0103 STRAIGHT_PARTY Democratic 
      4 0103 STRAIGHT_PARTY Republican 
      1 0103 STRAIGHT_PARTY Constitution 
      2 0103 STRAIGHT_PARTY United_Citizens 
      5 0103 Secretary_of_State Mark_Hammond 
     57 0103 Secretary_of_State Marjorie_L_Johnson 
     10 0103 Soil__and_Water_District_Commission Glenn_Winburn 
     14 0103 Soil__and_Water_District_Commission Matthew_Gene_Johnson 
     14 0103 Solicitor_Circuit_15 Greg_Hembree 
      1 0103 Solicitor_Circuit_15 W/I_AARON_BUTLER 
      4 0103 State_Superintendent_of_Education Mick_Zais 
      1 0103 State_Superintendent_of_Education Tim_Moultrie 
      1 0103 State_Superintendent_of_Education Tony_Fayyazi 
      1 0103 State_Superintendent_of_Education Doretha_A_Bull 
     54 0103 State_Superintendent_of_Education Frank_Holleman 
      1 0103 State_Treasurer W/I_DON_DUCK 
     10 0103 State_Treasurer Curtis_Loftis 
      1 0103 State_Treasurer W/I_AARON_BUTLER 
      6 0103 U.S._Senate Jim_DeMint 
      5 0103 U.S._Senate Tom_Clements 
     50 0103 U.S._Senate Alvin_M_Greene 
    475 0104 Adjutant_General Bob_Livingston 
     44 0104 Amendment_1 No 
    521 0104 Amendment_1 Yes 
     92 0104 Amendment_2 No 
    472 0104 Amendment_2 Yes 
    150 0104 Amendment_3 No 
    410 0104 Amendment_3 Yes 
    143 0104 Amendment_4 No 
    418 0104 Amendment_4 Yes 
    381 0104 Attorney_General Alan_Wilson 
      5 0104 Attorney_General Leslie_Minerd 
    186 0104 Attorney_General Matthew_Richardson 
    440 0104 Board_of_Education_Chairman Will_Garland 
    133 0104 Board_of_Education_Chairman Subhash_C_Saxena 
    301 0104 CCL0011_County_Council_District_11 Al_Allen 
    225 0104 CCL0011_County_Council_District_11 R_A_Johnson 
      4 0104 CONG01_U.S._House_of_Representatives_Dis Rob_Groce 
    431 0104 CONG01_U.S._House_of_Representatives_Dis Tim_Scott 
      4 0104 CONG01_U.S._House_of_Representatives_Dis Jimmy_Wood 
    112 0104 CONG01_U.S._House_of_Representatives_Dis Ben_Frasier 
      6 0104 CONG01_U.S._House_of_Representatives_Dis Robert_Dobbs 
      4 0104 CONG01_U.S._House_of_Representatives_Dis Keith_Blandford 
      1 0104 CONG01_U.S._House_of_Representatives_Dis M_E_Mac_McCullough 
      1 0104 CONG01_U.S._House_of_Representatives_Dis W/I_MUTT_RICHARDSON 
