output the times of ivo memory card data collection for horry

 ((11-04  11:30 am))  5123993
 ((11-04  11:30 am))  5123997
 ((11-04  11:30 am))  5124004
 ((11-04  11:30 am))  5124071
 ((11-04  11:30 am))  5124073
 ((11-04  11:30 am))  5124097
 ((11-04  11:30 am))  5124119
 ((11-04  11:30 am))  5124176
 ((11-04  11:30 am))  5124204
 ((11-04  11:30 am))  5124228
 ((11-04  11:30 am))  5124263
 ((11-04  11:30 am))  5124298
 ((11-04  11:30 am))  5124318
 ((11-04  11:30 am))  5124325
 ((11-04  11:30 am))  5124333
 ((11-04  11:30 am))  5124340
 ((11-04  11:30 am))  5124396
 ((11-04  11:30 am))  5124403
 ((11-04  11:30 am))  5124406
 ((11-04  11:30 am))  5124410
 ((11-04  11:30 am))  5124490
 ((11-04  11:30 am))  5124548
 ((11-04  11:31 am))  5124553
 ((11-04  11:31 am))  5124567
 ((11-04  11:31 am))  5124618
 ((11-04  11:31 am))  5124663
 ((11-04  11:31 am))  5124695
 ((11-04  11:31 am))  5124724
 ((11-04  11:31 am))  5124763
 ((11-04  11:31 am))  5124793
 ((11-04  11:31 am))  5124824
 ((11-04  11:31 am))  5124856
 ((11-04  11:31 am))  5124872
 ((11-04  11:31 am))  5124876
 ((11-04  11:31 am))  5124880
 ((11-04  11:31 am))  5124882
 ((11-04  11:31 am))  5124967
 ((11-04  11:31 am))  5124986
 ((11-04  11:31 am))  5125014
 ((11-04  11:31 am))  5125027
 ((11-04  11:31 am))  5125058
 ((11-04  11:31 am))  5125063
 ((11-04  11:31 am))  5125174
 ((11-04  11:31 am))  5125191
 ((11-04  11:31 am))  5125200
 ((11-04  11:31 am))  5125251
 ((11-04  11:31 am))  5125271
 ((11-04  11:31 am))  5125276
 ((11-04  11:31 am))  5125288
 ((11-04  11:31 am))  5125331
 ((11-04  11:31 am))  5125343
 ((11-04  11:31 am))  5125369
 ((11-04  11:31 am))  5125397
 ((11-04  11:31 am))  5125436
 ((11-04  11:31 am))  5125500
 ((11-04  11:31 am))  5125531
 ((11-04  11:31 am))  5125532
 ((11-04  11:31 am))  5125548
 ((11-04  11:31 am))  5125561
 ((11-04  11:31 am))  5125628
 ((11-04  11:31 am))  5125701
 ((11-04  11:31 am))  5125704
 ((11-04  11:31 am))  5125776
 ((11-04  11:31 am))  5125788
 ((11-04  11:31 am))  5125827
 ((11-04  11:31 am))  5125850
 ((11-04  11:31 am))  5125887
