Pct Ivo Count for horry
 PCT   IVO    PCTTOT     155     152 : RUNNINGTOTAL
5122471 0200      92
5122550 0174     118
5122562 0184      79
5122568 0104     142
5122616 0106      47
5122714 0197      82
5122717 0207      92
5122737 0159     111
5122756 0109     135
5122808 0140     120
5122866 0178      34
5122907 0132     131
5122924 0220      14
5122927 0128     125
5122956 0125     105
5122999 0197     105
5123044 0154     120
5123086 0136     137
5123191 0121     130
5123224 0207     124
5123230 0133     101
5123330 0211     147
5123333 0203      44
5123336 0174     118
5123343 0196      62
5123372 0212     174
5123418 0142     119
5123428 0167       3
5123433 0199     144
5123446 0164     149
5123459 0157     111
5123495 0184     113
5123498 0128     116
5123560 0130      84
5123565 0134      95
5123620 0158     144
5123682 0162     169
5123684 0165     148
5123685 0166      84
5123724 0108      88
5123802 0104     149
5123809 0123     127
5123823 0181     151
5123839 0207      72
5123911 0151     142
5123919 0172     158
5123936 0195      96
5123982 0202     109
5123984 0219     130
5123992 0133     124
5123993 0104     158
5123997 0193     121
5124004 0151     155
5124071 0116     101
5124073 0170     175
5124097 0108     138
5124119 0208      68
5124176 0126     103
5124204 0189      84
5124228 0108     134
5124263 0101     132
5124298 0219     132
5124318 0106     112
5124325 0108     109
5124333 0195      98
5124340 0132     148
5124396 0210     132
5124403 0154     118
5124406 0132     147
5124410 0130      93
5124490 0124     161
5124548 0177     128
5124553 0193     136
5124567 0135      96
5124618 0121     108
5124663 0210     129
5124695 0165     143
5124724 0124     162
5124763 0200     101
5124793 0177     128
5124824 0185     101
5124856 0128     130
5124872 0121      98
5124876 0201     137
5124880 0164     139
5124882 0206     113
5124967 0153     105
5124986 0216     120
5125014 0110     116
5125027 0199     139
5125058 0194     134
5125063 0217     121
5125174 0118      76
5125191 0158     132
5125200 0169     119
5125251 0200      93
5125271 0108      80
5125276 0201     152
5125288 0144      31
5125331 0116     110
5125343 0220     173
5125369 0128     133
5125397 0170     112
5125436 0133     144
5125500 0204      78
5125531 0106     132
5125532 0122     120
5125548 0213      63
5125561 0206     130
5125628 0162     173
5125701 0189     118
5125704 0202     125
5125776 0188     111
5125788 0179     128
5125827 0190     127
5125850 0108     133
5125887 0184     106
5125906 0132     138
5125925 0129     168
5125994 0151     134
5126031 0121      83
5126047 0172     155
5126084 0108      94
5126086 0212     156
5126144 0148      31
5126205 0162     161
5126237 0121     129
5126254 0193     120
5126348 0102     139
5126355 0140     127
5126374 0182     150
5126415 0187     191
5126432 0174     105
5126458 0109     135
5126497 0171     130
5126677 0115     111
5126698 0184     133
5126705 0180     153
5126758 0119     120
5126938 0111      89
5127036 0151     150
5127048 0135     146
5127092 0201     149
5127136 0154     104
5127164 0131     110
5127184 0140     130
5127240 0197      80
5127248 0175      69
5127266 0218      77
5127292 0204     126
5127310 0107      98
5127356 0218     134
5127371 0185      87
5127388 0195     107
5127415 0219     121
5127424 0156      69
5127449 0211     154
5127457 0115     117
5127472 0146      36
5127500 0111     104
5127516 0139     113
5127525 0170     154
5127574 0199      11
5127690 0117      83
5127736 0195      83
5127740 0750     157
5127866 0162     176
5127927 0180     128
5127929 0176     100
5127943 0204      87
5127957 0142     119
5127984 0122     122
5127989 0184      94
5128009 0112     141
5128013 0105     111
5128055 0126     111
5128098 0136     130
5128134 0157      96
5128160 0202     103
5128192 0165     132
5128200 0140     137
5128213 0173     146
5128214 0158     133
5128263 0149      87
5128305 0180     129
5128328 0145     116
5128343 0220     173
5128458 0150     114
5128491 0195      73
5128519 0204      80
5128537 0147     133
5128557 0189     115
5128562 0103      46
5128585 0219     137
5128601 0101     115
5128607 0174     112
5128615 0147     149
5128647 0118      91
5128695 0197     106
5128701 0216      85
5128734 0153      95
5128771 0128     121
5128885 0180     130
5128959 0197     124
5128968 0174     116
5128973 0186      48
5129021 0174     121
5129059 0139     113
5129068 0146      42
5129211 0110     108
5129236 0201     140
5129242 0135     120
5129278 0169     110
5129290 0140     130
5129389 0181     150
5129410 0173     139
5129535 0121     115
5129606 0176      84
5129859 0168      85
5129916 0202     122
5130165 0180     100
5130669 0129     158
5130802 0124     128
5130873 0207     122
5130944 0172     142
5131136 0117     103
5131254 0131     106
5131457 0170     167
5131561 0750     354
5131561 0850       2
5131593 0750     108
5131646 0138      74
5131822 0110      42
5131832 0153      83
5131844 0109      76
5131904 0195      44
5131962 0128     109
5131986 0110     107
5132079 0193     142
5132082 0120     132
5132106 0204     103
5132110 0187      97
5132125 0174     134
5132323 0113       2
5132349 0127     117
5132466 0108     143
5132491 0218     186
5132494 0116      79
5132564 0750      64
5132665 0154     113
5132736 0194     126
5132829 0101     125
5132978 0139     113
5132989 0207     125
5133000 0106     144
5133021 0119     128
5133024 0113     128
5133028 0209      76
5133046 0172     153
5133068 0199     125
5133104 0144      52
5133110 0104     134
5133121 0124     160
5133178 0132     133
5133184 0173     154
5133199 0206      94
5133244 0158     145
5133250 0193     129
5133301 0129     168
5133392 0188     133
5133425 0165     162
5133454 0206     131
5133523 0171     129
5133588 0177     113
5133603 0148     174
5133613 0215     107
5133620 0171      36
5133731 0120     127
5133765 0158     134
5133795 0137      70
5133922 0123     138
5133936 0166      73
5134019 0162     170
5134247 0213      91
5134301 0106     114
5134524 0216      90
5134607 0199     142
5134611 0147      12
5134621 0130      99
5134647 0198     125
5134658 0167      82
5134670 0181     163
5134687 0117     104
5134697 0205     191
5134732 0179     115
5134760 0211     144
5134765 0138     149
5134776 0150     103
5134786 0149      87
5134807 0145     127
5134832 0176     111
5134867 0143      91
5135499 0198     108
5135519 0165     159
5135561 0114     157
5135581 0136     118
5135808 0134      89
5135975 0152     106
5135985 0129     144
5135986 0158     134
5136003 0135     136
5136101 0183     105
5136157 0110     117
5136466 0167      61
5136478 0112     147
5136520 0209      76
5136608 0186      48
5136796 0164      64
5137376 0212     151
5137789 0130      60
5137799 0182     160
5137801 0750      35
5137845 0196      78
5137846 0152     109
5137849 0154     118
5137885 0114     156
5138012 0164     147
5138070 0108     116
5138095 0216      99
5138141 0131     103
5138298 0204     121
5138324 0101     136
5138373 0197     106
5138389 0158     145
5138394 0135     129
5138399 0142     129
5138513 0130      91
5138519 0102      93
5138589 0132     146
5138630 0126     130
5138738 0159     128
5138756 0203      65
5138758 0141      82
5138783 0750     451
5138783 0850       1
5138825 0174     121
5138856 0207     115
5142197 0128     110
5142634 0113     126
5143227 0132      88
5143629 0137       9
5143810 0121     137
5143834 0179     130
5143979 0214     176
5144022 0111     101
5151477 0180     113
5170595 0138     170
5180425 0216     111
5181701 0147     130
5182366 0750      27
5183366 0180     141
5183735 0197      98
5184040 0175     117
5184473 0207      77
5185017 0143     120
5185389 0109     141
5185390 0131      97
5185481 0163      95
5185693 0138     145
5185895 0153      99
5186344 0151     146
5186795 0156      61
5187136 0750     290
5187136 0850       6
5187667 0200      90
5187743 0111     108
5187879 0213      82
5187941 0130      83
5188049 0196     109
5188106 0142     100

COUNTY TOTAL     59079


