Pct Ivo Count for horry
 PCT   IVO    PCTTOT     155     152 : RUNNINGTOTAL
0130 5118862     124     124     124 :     290
0130 5123560      84      84      84 :     374
0130 5124410      93      93      93 :     467
0130 5134621      99      99      99 :     566
0130 5137789      60      60      60 :     626
0130 5138513      91      91      91 :     717
0130 5187941      83      83      83 :     800
PCT TOTAL         EMERALD_FOREST_#1 0130     800:     888 (       88) ZORK
0131 5127164     110     110     110 :     110
0131 5131254     106     106     106 :     216
0131 5138141     103     103     103 :     319
0131 5185390      97      97      97 :     416
PCT TOTAL         EMERALD_FOREST_#2 0131     416:     527 (      111) ZORK
0132 5122907     131     131     131 :     131
0132 5124340     148     148     148 :     279
0132 5124406     147     147     147 :     426
0132 5125906     138     138     138 :     564
0132 5133178     133     133     133 :     697
0132 5138589     146     146     146 :     843
0132 5143227      88      88      88 :     931
PCT TOTAL         EMERALD_FOREST_#3 0132     931:     933 (        2) ZORK
0133 5106246     135     135     135 :     135
0133 5119070     131     131     131 :     266
0133 5121725     133     133     133 :     399
0133 5123230     101     101     101 :     500
0133 5123992     124     124     124 :     624
0133 5125436     144     144     144 :     768
PCT TOTAL                ENTERPRISE 0133     768:     768
0134 5123565      95      95      95 :      95
0134 5135808      89      89      89 :     184
PCT TOTAL                    FLOYDS 0134     184:     184
0135 5113532     138     138     138 :     138
0135 5124567      96      96      96 :     234
0135 5127048     146     146     146 :     380
0135 5129242     120     120     120 :     500
0135 5136003     136     136     136 :     636
0135 5138394     129     129     129 :     765
PCT TOTAL               FORESTBROOK 0135     765:     859 (       94) ZORK
0136 5119617     135     135     135 :     135
0136 5123086     137     137     137 :     272
0136 5128098     130     130     130 :     402
0136 5135581     118     118     118 :     520
PCT TOTAL                 FOUR_MILE 0136     520:     527 (        7) ZORK
0137 5133795      70      70      70 :      70
0137 5143629       9       9       9 :      79
PCT TOTAL          GALLIVANTS_FERRY 0137      79:      79
0138 5112265     160     160     160 :     160
0138 5131646      74      74      74 :     234
0138 5134765     149     149     149 :     383
0138 5170595     170     170     170 :     553
0138 5185693     145     145     145 :     698
PCT TOTAL            GARDEN_CITY_#1 0138     698:     698
0139 5121777     114     114     114 :     114
0139 5127516     113     113     113 :     227
0139 5129059     113     113     113 :     340
0139 5132978     113     113     113 :     453
PCT TOTAL            GARDEN_CITY_#2 0139     453:     567 (      114) ZORK
0140 5122808     120     120     120 :     120
0140 5126355     127     127     127 :     247
0140 5127184     130     130     130 :     377
0140 5128200     137     137     137 :     514
0140 5129290     130     130     130 :     644
PCT TOTAL            GARDEN_CITY_#3 0140     644:     644
0141 5118620     100     100     100 :     100
0141 5138758      82      82      82 :     182
PCT TOTAL            GARDEN_CITY_#4 0141     182:     505 (      323) ZORK
0142 5105235     121     121     121 :     121
0142 5109127      60      60      60 :     181
0142 5120152     121     121     121 :     302
0142 5123418     119     119     119 :     421
0142 5127957     119     119     119 :     540
0142 5138399     129     129     129 :     669
0142 5188106     100     100     100 :     769
PCT TOTAL                GLENNS_BAY 0142     769:     769
0143 5119818     107     107     107 :     107
0143 5134867      91      91      91 :     198
0143 5185017     120     120     120 :     318
PCT TOTAL                 GREEN_SEA 0143     318:     318
0144 5125288      31      31      31 :      31
0144 5133104      52      52      52 :      83
PCT TOTAL                    GURLEY 0144      83:      83
0145 5120996     103     103     103 :     103
0145 5128328     116     116     116 :     219
0145 5134807     127     127     127 :     346
PCT TOTAL             HICKORY_GROVE 0145     346:     479 (      133) ZORK
0146 5127472      36      36      36 :      36
0146 5129068      42      42      42 :      78
PCT TOTAL              HICKORY_HILL 0146      78:      78
0147 5128537     133     133     133 :     133
0147 5128615     149     149     149 :     282
0147 5134611      12      12      12 :     294
0147 5181701     130     130     130 :     424
PCT TOTAL                  HOMEWOOD 0147     424:     424
0148 5120871     170     170     170 :     170
0148 5126144      31      31      31 :     201
0148 5133603     174     174     174 :     375
PCT TOTAL                     HORRY 0148     375:     375
0149 5128263      87      87      87 :      87
0149 5134786      87      87      87 :     174
PCT TOTAL                    INLAND 0149     174:     174
0150 5128458     114     114     114 :     114
0150 5134776     103     103     103 :     217
PCT TOTAL             JACKSON_BLUFF 0150     217:     217
0151 5104064     140     140     140 :     140
0151 5123911     142     142     142 :     282
0151 5124004     155     155     155 :     437
0151 5125994     134     134     134 :     571
0151 5127036     150     150     150 :     721
0151 5186344     146     146     146 :     867
PCT TOTAL                 JAMESTOWN 0151     867:     933 (       66) ZORK
0152 5135975     106     106     106 :     106
0152 5137846     109     109     109 :     215
PCT TOTAL       JERIGANS_CROSSROADS 0152     215:     215
0153 5124967     105     105     105 :     105
0153 5128734      95      95      95 :     200
0153 5131832      83      83      83 :     283
0153 5185895      99      99      99 :     382
PCT TOTAL               JET_PORT_#1 0153     382:     382
0154 5123044     120     120     120 :     120
0154 5124403     118     118     118 :     238
0154 5127136     104     104     104 :     342
0154 5132665     113     113     113 :     455
0154 5137849     118     118     118 :     573
PCT TOTAL               JET_PORT_#2 0154     573:     573
0155 5119886      90      90      90 :      90
PCT TOTAL               JORDANVILLE 0155      90:     202 (      112) ZORK
0156 5127424      69      69      69 :      69
0156 5186795      61      61      61 :     130
PCT TOTAL              JOYNER_SWAMP 0156     130:     130
0157 5103948     112     112     112 :     112
0157 5109542     104     104     104 :     216
0157 5114217      84      84      84 :     300
0157 5123459     111     111     111 :     411
0157 5128134      96      96      96 :     507
PCT TOTAL               JUNIPER_BAY 0157     507:     507
0158 5113678     149     149     149 :     149
0158 5118322     144     144     144 :     293
0158 5120575     151     151     151 :     444
0158 5123620     144     144     144 :     588
0158 5125191     132     132     132 :     720
0158 5128214     133     133     133 :     853
0158 5133244     145     145     145 :     998
0158 5133765     134     134     134 :    1132
0158 5135986     134     134     134 :    1266
0158 5138389     145     145     145 :    1411
PCT TOTAL                 LAKE_PARK 0158    1411:    1411
0159 5118101     112     112     112 :     112
0159 5122737     111     111     111 :     223
0159 5138738     128     128     128 :     351
PCT TOTAL                      LEON 0159     351:     477 (      126) ZORK
0162 5106608      53      53      53 :      53
0162 5123682     169     169     169 :     222
0162 5125628     173     173     173 :     395
0162 5126205     161     161     161 :     556
0162 5127866     176     176     176 :     732
0162 5134019     170     170     170 :     902
PCT TOTAL           LITTLE_RIVER_#3 0162     902:     902
0163 5122417      85      85      85 :      85
0163 5185481      95      95      95 :     180
PCT TOTAL                  LIVE_OAK 0163     180:     180
0164 5123446     149     149     149 :     149
0164 5124880     139     139     139 :     288
0164 5136796      64      64      64 :     352
0164 5138012     147     147     147 :     499
PCT TOTAL                     MAPLE 0164     499:     499
0165 5119110     162     162     162 :     162
0165 5120821     123     123     123 :     285
0165 5121802     166     166     166 :     451
0165 5123684     148     148     148 :     599
0165 5124695     143     143     143 :     742
0165 5128192     132     132     132 :     874
0165 5133425     162     162     162 :    1036
0165 5135519     159     159     159 :    1195
PCT TOTAL                   MARLOWE 0165    1195:    1349 (      154) ZORK
0166 5121502      55      55      55 :      55
0166 5123685      84      84      84 :     139
0166 5133936      73      73      73 :     212
