Pct-Contest-Candidate totals for mccormick
      3 0010 STRAIGHT_PARTY Independence 
      1 0010 STRAIGHT_PARTY United_Citizens 
      5 0010 STRAIGHT_PARTY Working_Families 
    214 0010 School_Board_Trustee Al_Bell 
    188 0010 School_Board_Trustee Bernard_Moss 
     75 0010 School_Board_Trustee Jerry_Tracey 
     73 0010 School_Board_Trustee Karen_Beckner 
    123 0010 School_Board_Trustee Byron_Thompson 
    106 0010 School_Board_Trustee Andrea_Barry_Mann 
    187 0010 School_Board_Trustee Verteema_S_Chiles 
    141 0010 Secretary_of_State Mark_Hammond 
    261 0010 Secretary_of_State Marjorie_L_Johnson 
      1 0010 Soil_and_Water_District_Commissioner W/I_VDURANT 
    143 0010 Soil_and_Water_District_Commissioner Phyllis_Albert 
      1 0010 Soil_and_Water_District_Commissioner W/I_BILL_SMART 
      3 0010 Soil_and_Water_District_Commissioner W/I_THOMAS_WARE 
    120 0010 State_Superintendent_of_Education Mick_Zais 
      4 0010 State_Superintendent_of_Education Tim_Moultrie 
      7 0010 State_Superintendent_of_Education Tony_Fayyazi 
      7 0010 State_Superintendent_of_Education Doretha_A_Bull 
    261 0010 State_Superintendent_of_Education Frank_Holleman 
      1 0010 State_Treasurer W/I_VDURANT 
    170 0010 State_Treasurer Curtis_Loftis 
    139 0010 US_Senate Jim_DeMint 
     21 0010 US_Senate Tom_Clements 
    236 0010 US_Senate Alvin_M_Greene 
     85 0013 Adjutant_General Bob_Livingston 
      2 0013 Amendment_1 No 
     92 0013 Amendment_1 Yes 
     15 0013 Amendment_2 No 
     78 0013 Amendment_2 Yes 
     22 0013 Amendment_3 No 
     72 0013 Amendment_3 Yes 
     21 0013 Amendment_4 No 
     70 0013 Amendment_4 Yes 
     76 0013 Attorney_General Alan_Wilson 
     24 0013 Attorney_General Matthew_Richardson 
     68 0013 CCL0002_County_Council_District_2 Bernie_Hamby 
      1 0013 CCL0002_County_Council_District_2 W/I_RICHARD_IZBICKI 
     11 0013 CCL0002_County_Council_District_2 George_C_Selfridge_Jr 
     15 0013 CCL0005_County_Council_District_5 Earl_R_Coleman 
      1 0013 CON0003_U.S._House_of_Rep_Dist_3 John_Dalen 
